last_name, first_name,pitcher,ff_avg_speed,si_avg_speed,fc_avg_speed,sl_avg_speed,ch_avg_speed,cu_avg_speed,fs_avg_speed,kn_avg_speed
Edwards Jr., Carl,605218,94.7,,,,90.7,80.2,,
Feltner, Ryan,663372,94.7,93.4,,83.7,83.1,77.5,,
Peralta, Wily,503449,95.5,95.6,,83.5,,,82.6,
Colomé, Alex,517008,94.3,,90.7,,,,,
Fulmer, Michael,605242,94.1,94.1,,90.1,86.1,78.7,,
Jansen, Kenley,445276,,93.8,92.4,81.5,,,,
Hader, Josh,623352,95.7,97.2,,83.4,87.7,,,
Stephens, Jackson,623451,94.1,94,,86.2,85.8,76.5,,
Murfee, Penn,682171,89.2,88.9,,79.8,,,,
Trivino, Lou,642152,95.6,95.7,92.1,81.8,87.2,76.8,,
Tepera, Ryan,572193,92.5,93,,86.2,85.7,81.6,,
Familia, Jeurys,544727,95.6,95.3,,88.7,,,92,
Bellatti, Andrew,571479,94.4,,,85.8,89.4,,,
De Jong, Chase,608328,93,93.4,,83.3,86.4,77.6,,
Bass, Anthony,542914,95,95.3,,86.3,,,86.5,
Brasier, Ryan,518489,95.4,96,,85,87.6,,,
Stephan, Trevor,663986,96.6,,,86.5,,,88,
Norris, Daniel,596057,91.7,,,80.6,86.9,76.5,,
Castillo, Diego,650895,95.5,95,,88.2,,,,
Blach, Ty,621389,,91,84.9,,80.7,79.1,,
Richards, Garrett,572070,94.3,95.7,,88.4,90,76.7,,
Luetge, Lucas,476595,,,87.9,78,,73.7,,
Gilbert, Tyler,656457,89.5,89.7,86.2,,,76.2,81.7,
Cabrera, Génesis,650893,96.3,96.1,,,90.4,79.3,,
Domínguez, Seranthony,622554,97.3,97.9,,88.8,91.9,,,
Hendriks, Liam,521230,97.5,,,89,,85.6,,
Adam, Jason,592094,94.7,,,81.4,89.5,79.6,,
Vesia, Alex,681911,93.6,,,84.5,85.1,,,
Romano, Jordan,605447,96.5,96.5,,87,,,,
Mantiply, Joe,573009,90.9,90.4,,,82.6,81.1,,
Herget, Jimmy,623474,92.2,90.7,,82.9,84.4,74.9,,
Ortega, Oliver,661383,95.9,,94,,,82.2,,
Phillips, Evan,623465,95.8,96.5,93.3,85.2,,,,
Hentges, Sam,656529,95.6,95.4,,87.9,,81.3,,
Castano, Daniel,641447,92,89.5,86.5,81.3,84.1,,,
Falter, Bailey,663559,90.8,90.8,,83.1,81.9,75.6,,
García, Jarlín,606424,93.6,,,82.3,85.3,,,
Foley, Jason,671345,96.1,95.9,,85.9,89.4,,,
Stammen, Craig,489334,,91.3,87.8,,86,80.2,,
Melancon, Mark,453343,91.6,,90.9,,,81.8,84.1,
Staumont, Josh,622251,96.2,97.2,,,,82.3,,
Thornton, Trent,663423,93.6,92.8,,82.3,,79.5,,
Stanek, Ryne,592773,98.7,,,87.3,,,88.8,
Leone, Dominic,608678,95.3,94.8,91,85,,,,
Graterol, Brusdar,660813,99.3,99.9,95.5,90.2,,,,
