last_name, first_name,pitcher,ff_avg_speed,si_avg_speed,fc_avg_speed,sl_avg_speed,ch_avg_speed,cu_avg_speed,fs_avg_speed,kn_avg_speed
Pagán, Emilio,641941,95.5,,85.6,84.6,,,88.5,
Crismatt, Nabil,622503,90.6,90.1,,84,82.8,73,,
Hoffman, Jeff,656546,94.2,,,81.2,87.7,,,
Maton, Phil,664208,91,90,82.3,80.6,84.2,74.6,,
Pilkington, Konnor,663455,92.1,93.3,,81.7,84.3,76.1,,
Tate, Dillon,622253,93,94.1,,81.1,84,,,
Richards, Trevor,670950,93.5,,,,84.4,84.7,,
Williams, Devin,642207,94.1,,86.5,,83.6,,,
Clarke, Taylor,664199,95.6,,,88.4,89.1,,,
Kimbrel, Craig,518886,95.9,,,,,86,,
Beeks, Jalen,656222,95.1,,87.5,82.1,90.3,,,
Givens, Mychal,571710,93.3,,,84.7,82,,,
Montero, Rafael,606160,96.4,96,,87.9,91.1,,,
Brebbia, John,605154,94.4,,,83.8,,,,
Rogers, Taylor,573124,93.9,94.4,,81.2,,,,
Minter, A.J.,621345,96.6,,90.4,,87.7,,,
Muñoz, Andrés,662253,100.1,,,87.9,,,,
Strickland, Hunter,519326,95.3,95.3,,84.9,90.2,,,
Acevedo, Domingo,642758,92.8,92.9,,86.4,86.6,,,
Estévez, Carlos,608032,97.6,,,87.4,88.5,,,
Logue, Zach,656657,90.1,,85.9,,81.9,77.5,,
Ottavino, Adam,493603,94.8,94.2,87.9,80.9,88.9,,,
Duran, Jhoan,661395,100.6,,89.7,,,87.6,96.1,
Puk, A.J.,640462,96.7,96.2,,86.8,89,,,
Jiménez, Joe,641729,95.8,,,84.9,90.5,,,
Knebel, Corey,608349,95.6,,,,,78.8,,
Vest, Will,676684,95.1,,,86.4,86.8,,,
Bautista, Félix,642585,98.9,,90,85,,,88.2,
Lange, Alex,656638,95.6,96.2,,,89.6,85.4,,
Robertson, David,502085,,,93.3,83.8,,85,,
Alexander, Jason,669920,93.2,92.6,,80.8,81.6,,,
Soto, Gregory,642397,98.6,98.1,,89.1,91.9,,,
Díaz, Alexis,664747,95.7,,,86.8,,81.4,,
Ramirez, Noé,598287,89.8,,,,84.1,78,,
Gallegos, Giovanny,606149,94.2,,,85.4,87.1,,,
Morgan, Eli,669212,92,,88.5,85.5,75.7,79.3,,
Lugo, Seth,607625,94.1,94.1,,88.6,87.6,79.5,,
Finnegan, Kyle,640448,,96.8,,89,,,88.3,
Boxberger, Brad,502202,92.7,,,87.3,81.2,,,
Smith, Will,519293,92.2,,,81.4,87.1,76.9,,
De Jong, Chase,608328,92.9,93.4,,83.5,86.4,77.7,,
Stephens, Jackson,623451,94.1,94.1,,86.4,85.9,76.7,,
Suter, Brent,608718,86.5,87.6,,,77.5,78.5,,
Milner, Hoby,571948,89.1,88.7,,,81.2,79.3,,
Gilbreath, Lucas,656458,93.8,,,82.6,,,85,
Loup, Aaron,571901,,91.3,84.8,,80.4,75.9,,
King, Michael,650633,96.4,95.5,,82.3,88.3,,,
Graveman, Kendall,608665,96.4,96.4,,88.5,91,83.1,,
Krehbiel, Joey,607216,94.2,,85.6,79.8,84.1,,,
Matz, Steven,571927,,94.5,,89.6,85.1,77.8,,
Okert, Steven,595345,93.6,,,81.8,,,,
Holmes, Clay,605280,98,96.9,,85.1,,,,
Díaz, Edwin,621242,99.1,95.2,,90.8,,,,
Cimber, Adam,643256,86.7,86.6,,78,,,,
Sanmartin, Reiver,665665,90.8,90.3,,82,85.1,,,
Sawamura, Hirokazu,617228,95.9,,,85.7,,,92,
Brasier, Ryan,518489,95.6,96.1,,85.2,87.6,,,
Neris, Héctor,593576,94.3,94.6,,87.9,,,85,
Edwards Jr., Carl,605218,94.7,,,,90.5,80.2,,
Fulmer, Michael,605242,94,94.3,,90.1,86.4,78.7,,
Abreu, Bryan,650556,97.3,,,88.5,89.7,83.9,,
Machado, Andres,600921,96,95.4,,87.2,89.3,,,
Trivino, Lou,642152,95.5,95.7,92.1,81.8,87.3,76.8,,
Banks, Tanner,621383,92.8,,,86.7,84.8,82.2,,
Effross, Scott,664123,90.8,90.3,,79.7,82.9,,,
Rodriguez, Eduardo,593958,91.8,91.9,88.5,82.7,85.2,,,
Castellanos, Humberto,528748,89.4,90.4,,86.2,84,76.5,,
Payamps, Joel,606303,95,94.4,,82.1,88.9,,,
