last_name, first_name,pitcher,ff_avg_spin,si_avg_spin,fc_avg_spin,sl_avg_spin,ch_avg_spin,cu_avg_spin,fs_avg_spin,kn_avg_spin
Rodriguez, Jefry,622446,2370,2246,,,1739,2412,,
Buchter, Ryan,488748,2274,,2247,,,2087,,
Brice, Austin,592169,2351,2056,,,1809,2903,,
Martinez, Carlos,593372,2125,2004,2293,2144,1891,,,
Toussaint, Touki,657053,2226,2202,,,,2470,1465,
Hernandez, David,456696,2367,2275,2400,,2281,2341,,
Johnson, Brian,598271,2297,2336,,2574,1954,2697,,
Yacabonis, Jimmy,642231,2350,2272,,2565,1677,,,
Kelley, Shawn,518875,2396,,,2431,2488,,,
Suárez, Ranger,624133,2029,1955,,2122,1616,,,
Bleier, Richard,542947,1909,1943,1949,1970,1590,,,
García, Jarlín,606424,2264,,,2380,2306,,,
Keller, Mitch,656605,2473,,,2661,1705,2770,,
Ruiz, José,614179,2349,,,2261,1870,2043,,
Wood, Hunter,621056,2492,,,2555,1703,2328,,
Sims, Lucas,608371,2641,2619,,3004,1923,3120,,
Vincent, Nick,543883,2351,2166,2417,2560,1849,,,
Shafer, Justin,596101,2460,2220,2530,2474,,,,
Smeltzer, Devin,656970,2433,,,2429,1794,2738,,
Floro, Dylan,571670,2292,2233,,2156,2124,,,
Richard, Clayton,453385,2284,2185,,2219,1581,,,
Harper, Ryne,607560,1821,,1757,,1076,2353,,
Strop, Pedro,467008,2374,2361,2344,2429,,,1758,
García, Edgar,658305,2305,2274,,2357,1707,,,
Pruitt, Austin,643493,2408,2412,,2658,1873,2999,,
Hembree, Heath,592390,2456,,,2624,,2760,,
Morin, Mike,573046,2136,1999,,2118,1461,,,
Bass, Anthony,542914,2057,2047,,2294,,,1229,
Sandoval, Patrick,663776,1970,,,2444,1662,2739,,
Brennan, Brandon,592165,2297,2228,,2097,1670,,,
Santiago, Héctor,502327,2117,2078,,2051,2054,2003,,
Goody, Nick,580792,2229,,,2390,,,,
Barraclough, Kyle,607457,2362,,,2403,1400,2412,,
Kline, Branden,571858,2174,,,2296,1536,,,
Grace, Matt,594840,,1818,1882,2001,1577,,,
Sadler, Casey,594987,2449,2341,2600,,1762,2911,,
Rodón, Carlos,607074,2154,2226,,2452,1714,,,
Holder, Jonathan,656547,2335,,2444,2779,1848,,,
Gonsolin, Tony,664062,2456,,,2553,,2657,1998,
Urquidy, José,664353,2305,,,2581,2162,2592,,
Wilson, Justin,458677,2374,,2459,2566,,,,
Brigham, Jeff,656257,2428,,,2991,,,,
Hardy, Blaine,543278,2235,2173,2357,,1982,1952,,
Alcántara, Victor,622505,,2085,,2024,1710,,,
Carpenter, Ryan,543001,2178,2103,,2689,1864,2769,,
Voth, Austin,608723,2201,,,2503,1978,2827,,
Hernandez, Darwinzon,650382,2354,2444,,2625,,2588,,
Duplantier, Jon,641541,2198,2129,,2213,1628,2385,,
Webb, Logan,657277,2238,2055,,2718,1576,,,
Hellickson, Jeremy,476451,2126,2118,2426,,1861,2845,,
Weber, Ryan,543901,2121,2092,2246,2347,1816,2480,,
Sheffield, Justus,656954,1835,,,2475,1730,2404,,
Springs, Jeffrey,605488,2206,2090,,2163,1489,,,
Leone, Dominic,608678,2279,2235,2485,2479,1757,,,
Barnes, Jacob,606930,2451,,2369,2165,,,,
Pérez, Oliver,424144,2192,2161,,2279,,,,
Hartlieb, Geoff,664129,2479,2414,,2511,2059,,,
Quijada, José,650671,2387,,,,1710,2531,,
McGee, Jake,459429,2212,,,2031,,,,
Peralta, Wily,503449,1872,1855,,2200,1583,2095,,
Cisnero, José,542585,2428,2312,,2511,1764,,,
Peralta, Wandy,593974,2171,2199,,2253,2186,,,
Phelps, David,475479,2346,2231,2411,,2112,2648,,
Irvin, Cole,608344,1984,,,1943,1643,1973,,
Parsons, Wes,641149,2318,2316,,2512,1595,,,
Luciano, Elvis,672773,2286,,,2188,1747,,,
Hill, Tim,657612,2241,2087,,2112,,,,
Wieck, Brad,623364,2227,,,2058,,2331,,
Mejía, Adalberto,606167,2576,2478,,2507,1964,,,
Tinoco, Jesus,622786,2235,2237,,2355,,2525,1686,
Reid-Foley, Sean,656887,2105,2148,,2166,1604,2077,,
Kluber, Corey,446372,2332,2210,2503,,1804,2538,,
Eshelman, Thomas,664045,1854,1777,,1853,1284,1944,,
Maton, Phil,664208,2583,,2844,,,2764,,
Almonte, Yency,622075,2172,2159,,2408,1767,,,
Biddle, Jesse,592145,2532,2576,,2350,,2591,,
Avilán, Luis,501593,,2114,,,2210,2450,,
Holland, Greg,518813,2243,,,2070,1695,2297,,
Ross, Tyson,475115,2498,2376,2473,2640,,,,
Smith, Josh A.,595001,2331,2375,2569,2615,1899,2920,,
Loáisiga, Jonathan,642528,2422,2352,,,1699,2805,,
Minter, A.J.,621345,2326,2379,2437,2156,1696,,,
Wick, Rowan,592858,2350,,2355,2361,,2582,,
Wood, Alex,622072,2016,2112,,,1658,2161,,
Alvarado, José,621237,2221,2180,2533,,,2523,,
Hale, David,571735,2265,2175,,,1718,2293,,
Helsley, Ryan,664854,2511,2515,,2475,1621,2421,,
Wright Jr., Mike,605541,2257,2101,,2259,1803,2489,,
Dugger, Robert,667498,2191,2070,,2311,1454,2350,,
Phillips, Evan,623465,2244,2223,,2472,1299,,,
May, Dustin,669160,2442,2412,2746,,1815,3058,,
Sobotka, Chad,656977,2499,2474,,2959,2442,,,
Melville, Tim,543532,2006,,,2286,2230,2358,,
Blevins, Jerry,460283,2223,,,,1733,2439,,
Fulmer, Carson,608334,2376,,2615,,1505,2795,,
Warren, Adam,476589,2151,2027,,2226,1771,2104,,
Taillon, Jameson,592791,2328,2289,,2473,1897,2746,,
Mills, Alec,621219,2218,2202,,2609,1727,2511,,
Bowman, Matt,621199,2021,1946,2117,2245,,2462,1182,
Littell, Zack,641793,2077,1905,,2143,1898,1959,,
Olson, Tyler,621397,2273,2249,,,1819,2775,,
Cordero, Jimmy,622772,2146,2128,2072,2234,1657,,,
Newberry, Jake,623470,2374,2410,,2438,1626,,,
Suárez, Andrew,605498,2040,1984,,2379,1652,2552,,
Webb, Jacob,657097,2450,,,,2367,2472,,
Reininger, Zac,643617,2310,2179,,2510,1624,2660,,
Jackson, Jay,543351,2383,,,2444,1885,,,
Adams, Austin,613534,2601,2497,,2829,,,,
Stumpf, Daniel,621385,2376,,,2257,1626,,,
Baez, Michel,673258,2382,,,2071,1719,2062,,
Blach, Ty,621389,,2136,2444,2432,1906,2392,,
Wang, Wei-Chung,623913,2163,2151,,2343,1922,2494,,
